,airline,airlineId,sourceAirport,destAirport,codeShare,stops,equipment,idx_source,idx_dest
0,2B,410,AER,KZN,,0,CR2,1138,3316
1,2B,410,ASF,KZN,,0,CR2,2384,3316
2,2B,410,CEK,KZN,,0,CR2,716,3316
3,2B,410,DME,KZN,,0,CR2,353,3316
4,S7,4329,DME,KZN,,0,319,353,3316
5,U6,5234,DME,KZN,,0,320,353,3316
6,UN,5067,DME,KZN,,0,735,353,3316
7,2B,410,EGO,KZN,,0,CR2,2047,3316
8,2B,410,LED,KZN,,0,CR2,2913,3316
9,FV,641,LED,KZN,,0,A81,2913,3316
10,SU,130,LED,KZN,,0,A81,2913,3316
11,2B,410,SVX,KZN,,0,CR2,948,3316
12,FZ,14485,DWC,KZN,,0,73H,1840,3316
13,HY,5281,FEG,KZN,,0,320,2225,3316
14,HY,5281,SKD,KZN,,0,320,1963,3316
15,UR,15814,UFA,KZN,,0,AT7,3219,3316
16,8Q,3788,AYT,KZN,,0,321,704,3316
17,SU,130,SVO,KZN,,0,320 319 SU9 321,1300,3316
18,KC,1006,ALA,KZN,,0,E90,2348,3316
19,SZ,10122,DYU,KZN,,0,737,244,3316
20,U6,5234,DYU,KZN,,0,320,244,3316
21,YK,1943,FRU,KZN,,0,146,673,3316
22,TK,4951,IST,KZN,,0,738 319,1462,3316
23,SZ,10122,LBD,KZN,,0,737,1939,3316
24,U6,5234,LBD,KZN,,0,320,1939,3316
25,G9,329,SHJ,KZN,,0,320,579,3316
26,HY,5281,TAS,KZN,,0,320,842,3316
27,YK,1943,OSS,KZN,,0,146,797,3316
28,7J,9531,AER,DYU,,0,735,1138,244
29,S7,4329,CEK,DYU,,0,319,716,244
30,U6,5234,CEK,DYU,,0,320,716,244
31,7J,9531,DME,DYU,,0,752,353,244
32,SZ,10122,DME,DYU,,0,737,353,244
33,SZ,10122,KZN,DYU,,0,737,3316,244
34,U6,5234,KZN,DYU,,0,320,3316,244
35,7J,9531,LED,DYU,,0,735,2913,244
36,SU,130,LED,DYU,,0,320,2913,244
37,SZ,10122,LED,DYU,,0,737,2913,244
38,U6,5234,LED,DYU,,0,320,2913,244
39,U6,5234,MRV,DYU,,0,320,3318,244
40,U6,5234,NBC,DYU,,0,320,741,244
41,7J,9531,OVB,DYU,,0,735,1828,244
42,S7,4329,OVB,DYU,,0,320,1828,244
43,7J,9531,SVX,DYU,,0,735,948,244
44,SZ,10122,SVX,DYU,,0,737,948,244
45,U6,5234,SVX,DYU,,0,320,948,244
46,R3,1287,IKT,DYU,,0,73W,2494,244
47,SZ,10122,IKT,DYU,,0,737,2494,244
48,7J,9531,URC,DYU,,0,752,1886,244
49,CZ,1767,URC,DYU,,0,752,1886,244
50,SZ,10122,URC,DYU,,0,737,1886,244
51,U6,5234,UFA,DYU,,0,320,3219,244
52,FZ,14485,DXB,DYU,,0,73H,3077,244
53,SZ,10122,DXB,DYU,,0,737,3077,244
54,7J,9531,DEL,DYU,,0,735,3293,244
55,RQ,3097,KBL,DYU,,0,M87,2229,244
56,SZ,10122,FRA,DYU,,0,737,650,244
57,SZ,10122,KJA,DYU,,0,737,863,244
58,U6,5234,KJA,DYU,,0,320,863,244
59,Y7,13088,KJA,DYU,,0,738,863,244
60,R3,1287,KRR,DYU,,0,73W,229,244
61,SZ,10122,KRR,DYU,,0,737,229,244
62,7J,9531,ALA,DYU,,0,MA6,2348,244
63,KC,1006,ALA,DYU,,0,320 757,2348,244
64,SZ,10122,ALA,DYU,,0,737,2348,244
65,7J,9531,FRU,DYU,,0,MA6,673,244
66,YK,1943,FRU,DYU,,0,146,673,244
67,7J,9531,IKA,DYU,,0,735,37,244
68,EP,2923,IKA,DYU,,0,100,37,244
69,7J,9531,IST,DYU,,0,735,1462,244
70,SZ,10122,IST,DYU,,0,737,1462,244
71,TK,4951,IST,DYU,,0,321,1462,244
72,7J,9531,SGC,DYU,,0,735,602,244
73,7J,9531,SHJ,DYU,,0,735,579,244
74,U6,5234,KUF,DYU,,0,320,1506,244
75,U6,5234,ROV,DYU,,0,320,2294,244
76,U6,5234,VOG,DYU,,0,320,1347,244
77,EP,2923,MHD,DYU,,0,100,993,244
78,R2,3805,REN,DYU,,0,738,264,244
79,SZ,10122,REN,DYU,,0,737,264,244
80,IOS,2951,OMS,DYU,,0,CR2,272,244
81,U6,5234,GOJ,DYU,,0,320,2408,244
82,9U,1073,AER,KIV,,0,EM2,1138,1689
83,9U,1073,DME,KIV,,0,320 E90,353,1689
84,S7,4329,DME,KIV,,0,321,353,1689
85,9U,1073,LED,KIV,,0,E90,2913,1689
86,9U,1073,LCA,KIV,,0,E90,1323,1689
87,FZ,14485,DWC,KIV,,0,73H,1840,1689
88,LH,3320,MUC,KIV,Y,0,E95,2430,1689
89,9U,1073,BLQ,KIV,,0,E90,1848,1689
90,IG,3463,BLQ,KIV,,0,737,1848,1689
91,W6,5461,TSF,KIV,,0,320,1043,1689
92,9U,1073,ATH,KIV,,0,E90,2416,1689
93,9U,1073,DUB,KIV,,0,E90,2220,1689
94,9U,1073,FCO,KIV,,0,E90,2702,1689
95,V3,1669,FCO,KIV,,0,733,2702,1689
96,9U,1073,FRA,KIV,,0,E90,650,1689
97,9U,1073,LIS,KIV,,0,E90,419,1689
98,9U,1073,MXP,KIV,,0,E90,2443,1689
99,IG,3463,MXP,KIV,,0,737,2443,1689
100,9U,1073,STN,KIV,,0,E90 320,1542,1689
101,9U,1073,VCE,KIV,,0,E90,173,1689
102,V3,1669,VCE,KIV,,0,733,173,1689
103,OS,491,VIE,KIV,Y,0,100 DH4 F70,2811,1689
104,9U,1073,VRN,KIV,,0,E90,240,1689
105,IG,3463,VRN,KIV,,0,737,240,1689
106,BT,333,RIX,KIV,,0,DH4,1776,1689
107,9U,1073,IST,KIV,,0,320 E90,1462,1689
108,TK,4951,IST,KIV,,0,319 73W,1462,1689
109,9U,1073,SGC,KIV,,0,E90,602,1689
110,9U,1073,BVA,KIV,,0,E90,289,1689
111,9U,1073,KBP,KIV,,0,EM2,2736,1689
112,9U,1073,OTP,KIV,,0,EM2,2300,1689
113,AZ,596,OTP,KIV,,0,AT7 AT5,2300,1689
114,RO,5179,OTP,KIV,,0,AT7,2300,1689
115,W6,5461,CIA,KIV,,0,320,3110,1689
116,B2,1478,AER,MSQ,,0,735 CRJ,1138,2690
117,B2,1478,DME,MSQ,,0,735 CRJ E95 733,353,2690
118,S7,4329,DME,MSQ,,0,735,353,2690
119,UN,5067,DME,MSQ,Y,0,735,353,2690
120,B2,1478,GYD,MSQ,,0,735,2319,2690
121,B2,1478,KGD,MSQ,,0,CRJ,542,2690
122,B2,1478,LED,MSQ,,0,CRJ E75 E95,2913,2690
123,S7,4329,LED,MSQ,Y,0,CRJ 735,2913,2690
124,UN,5067,LED,MSQ,Y,0,735,2913,2690
125,B2,1478,SVX,MSQ,,0,CRJ,948,2690
126,B2,1478,GVA,MSQ,,0,E75 E95,330,2690
127,B2,1478,LCA,MSQ,,0,733,1323,2690
128,B2,1478,ARN,MSQ,,0,CRJ,837,2690
129,B2,1478,BCN,MSQ,,0,E75 733 735,1552,2690
130,B2,1478,LGW,MSQ,,0,735 E75,856,2690
131,B2,1478,AMS,MSQ,,0,735 733,3246,2690
132,B2,1478,TLV,MSQ,,0,733,590,2690
133,B2,1478,BUD,MSQ,,0,CRJ 735,3332,2690
134,B2,1478,CDG,MSQ,,0,733,1440,2690
135,B2,1478,FCO,MSQ,,0,735,2702,2690
136,B2,1478,FRA,MSQ,,0,735 E75,650,2690
137,LH,3320,FRA,MSQ,Y,0,E90,650,2690
138,B2,1478,HAJ,MSQ,,0,CRJ,1721,2690
139,AY,2350,HEL,MSQ,Y,0,CR2 733,714,2690
140,B2,1478,HEL,MSQ,,0,CRJ 733,714,2690
141,B2,1478,MXP,MSQ,,0,735,2443,2690
142,B2,1478,NCE,MSQ,,0,E75,1510,2690
143,B2,1478,PRG,MSQ,,0,E75 E95 733,1481,2690
144,OK,1946,PRG,MSQ,Y,0,E75 E95 733,1481,2690
145,B2,1478,VIE,MSQ,Y,0,F70,2811,2690
146,OS,491,VIE,MSQ,Y,0,100 F70 320 319 321,2811,2690
147,B2,1478,WAW,MSQ,,0,735 CRJ E75,1257,2690
148,LO,3210,WAW,MSQ,,0,E75 E95 734,1257,2690
149,SU,130,SVO,MSQ,,0,320 319,1300,2690
150,B2,1478,SXF,MSQ,,0,CRJ,1066,2690
151,B2,1478,TBS,MSQ,,0,735,1375,2690
152,B2,1478,KRR,MSQ,,0,735,229,2690
153,B2,1478,EVN,MSQ,,0,E75,3248,2690
154,B2,1478,RIX,MSQ,,0,CRJ,1776,2690
155,BT,333,RIX,MSQ,,0,DH4 73C,1776,2690
156,B2,1478,IKA,MSQ,,0,E75,37,2690
157,B2,1478,IST,MSQ,,0,733 E75,1462,2690
158,TK,4951,IST,MSQ,,0,320,1462,2690
159,B2,1478,KUF,MSQ,,0,CRJ,1506,2690
160,B2,1478,KBP,MSQ,,0,E75 CRJ,2736,2690
161,PS,5282,KBP,MSQ,,0,737,2736,2690
162,B2,1478,AUH,MSQ,,0,319,1524,2690
163,EY,2222,AUH,MSQ,,0,320,1524,2690
164,B2,1478,BUS,MSQ,,0,CRJ,1031,2690
165,B2,1478,KUT,MSQ,,0,CRJ,1741,2690
166,B2,1478,VNO,MSQ,,0,CRJ,1505,2690
167,B2,1478,BEY,MSQ,,0,CRJ,839,2690
168,B2,1478,ASB,MSQ,,0,735,242,2690
169,B2,1478,TSE,MSQ,,0,735,2739,2690
170,HY,5281,AER,TAS,,0,767,1138,842
171,SU,130,AER,TAS,,0,319,1138,842
172,U6,5234,CEK,TAS,,0,320,716,842
173,HY,5281,DME,TAS,,0,764 767,353,842
174,HY,5281,GYD,TAS,,0,320,2319,842
175,HY,5281,KGD,TAS,,0,752,542,842
176,U6,5234,KGD,TAS,,0,320,542,842
177,HY,5281,KZN,TAS,,0,320,3316,842
178,HY,5281,LED,TAS,,0,764 320,2913,842
179,SU,130,LED,TAS,,0,763 320,2913,842
180,HY,5281,MRV,TAS,,0,320,3318,842
181,SU,130,MRV,TAS,,0,319,3318,842
182,HY,5281,OVB,TAS,,0,320,1828,842
183,S7,4329,OVB,TAS,,0,320,1828,842
184,HY,5281,SVX,TAS,,0,757,948,842
185,U6,5234,SVX,TAS,,0,320,948,842
186,R3,1287,IKT,TAS,,0,73H,2494,842
187,HY,5281,BKK,TAS,,0,764 763,1034,842
188,HY,5281,KUL,TAS,,0,764,2417,842
189,MH,3378,KUL,TAS,Y,0,764,2417,842
190,HY,5281,SIN,TAS,,0,764,2008,842
191,MH,3378,SIN,TAS,Y,0,752,2008,842
192,HY,5281,BHK,TAS,,0,I14 320 757,683,842
193,HY,5281,FEG,TAS,,0,757 320,2225,842
194,HY,5281,KSQ,TAS,,0,I14 320,1982,842
195,HY,5281,NMA,TAS,,0,752 320,1725,842
196,HY,5281,NVI,TAS,,0,I14 320,850,842
197,HY,5281,SKD,TAS,,0,757 320,1963,842
198,HY,5281,ICN,TAS,,0,764 767,3170,842
199,KE,3163,ICN,TAS,,0,332,3170,842
200,OZ,28,ICN,TAS,,0,333,3170,842
201,CZ,1767,PEK,TAS,,0,330,3289,842
202,HY,5281,PEK,TAS,,0,764 767,3289,842
203,CZ,1767,URC,TAS,,0,752,1886,842
204,HY,5281,URC,TAS,,0,764,1886,842
205,HY,5281,TLV,TAS,,0,764,590,842
206,HY,5281,NCU,TAS,,0,I14 320,2180,842
207,HY,5281,TJM,TAS,,0,752,3102,842
208,HY,5281,UFA,TAS,,0,320,3219,842
209,UN,5067,VKO,TAS,,0,772,2205,842
210,HY,5281,DXB,TAS,,0,763,3077,842
211,HY,5281,DEL,TAS,,0,763 764,3293,842
212,HY,5281,CDG,TAS,,0,767,1440,842
213,HY,5281,FCO,TAS,,0,764,2702,842
214,HY,5281,FRA,TAS,,0,763 764 752,650,842
215,HY,5281,LHR,TAS,,0,757,148,842
216,OK,1946,PRG,TAS,,0,319,1481,842
217,HY,5281,NRT,TAS,,0,764,2982,842
218,AZ,596,SVO,TAS,,0,321,1300,842
219,SU,130,SVO,TAS,,0,321,1300,842
220,HY,5281,KJA,TAS,,0,320,863,842
221,U6,5234,KJA,TAS,,0,320,863,842
222,HY,5281,KRR,TAS,,0,320,229,842
223,R3,1287,KRR,TAS,,0,73W,229,842
224,U6,5234,KRR,TAS,,0,320,229,842
225,BT,333,RIX,TAS,Y,0,763,1776,842
226,HY,5281,RIX,TAS,,0,764 763,1776,842
227,HY,5281,ALA,TAS,,0,320,2348,842
228,KC,1006,ALA,TAS,,0,320 319 E90 757,2348,842
229,HY,5281,FRU,TAS,,0,320,673,842
230,QH,882,FRU,TAS,,0,735,673,842
231,IR,2922,IKA,TAS,,0,320,37,842
232,HY,5281,IST,TAS,,0,767,1462,842
233,TK,4951,IST,TAS,,0,321,1462,842
234,HY,5281,SHJ,TAS,,0,763,579,842
235,HY,5281,KUF,TAS,,0,320,1506,842
236,U6,5234,KUF,TAS,,0,320,1506,842
237,HY,5281,ROV,TAS,,0,320,2294,842
238,SU,130,ROV,TAS,,0,319,2294,842
239,HY,5281,VOG,TAS,,0,320,1347,842
240,HY,5281,KBP,TAS,,0,763 764,2736,842
241,HY,5281,ATQ,TAS,,0,320,3295,842
242,HY,5281,TSE,TAS,,0,320,2739,842
243,KC,1006,TSE,TAS,,0,E90,2739,842
244,HY,5281,AZN,TAS,,0,757,1281,842
245,HY,5281,TMJ,TAS,,0,I14 757,985,842
246,HY,5281,UGC,TAS,,0,I14 320 763 764,580,842
247,IOS,2951,OMS,TAS,,0,CR2,272,842
248,U6,5234,GOJ,TAS,,0,320,2408,842
249,PC,3926,AER,TZX,,0,738,1138,1730
250,PC,3926,SAW,TZX,,0,738 320,2351,1730
251,TK,4951,SAW,TZX,Y,0,738,2351,1730
252,PC,3926,AYT,TZX,,0,738,704,1730
253,8Q,3788,IST,TZX,,0,320,1462,1730
254,TK,4951,IST,TZX,,0,320 321 319 738 73W,1462,1730
255,PC,3926,ADA,TZX,,0,738,3254,1730
256,PC,3926,ADB,TZX,,0,738,1406,1730
257,XQ,4573,ADB,TZX,,0,738,1406,1730
258,TK,4951,ESB,TZX,Y,0,738,361,1730
259,QN,426,AER,EVN,,0,735,1138,3248
260,SU,130,AER,EVN,,0,319,1138,3248
261,S7,4329,CEK,EVN,,0,319,716,3248
262,S7,4329,DME,EVN,,0,321 320,353,3248
263,QN,426,LED,EVN,,0,735,2913,3248
264,SU,130,LED,EVN,,0,319 320,2913,3248
265,U6,5234,LED,EVN,,0,320,2913,3248
266,SU,130,MRV,EVN,,0,319,3318,3248
267,S7,4329,OVB,EVN,,0,320,1828,3248
268,QN,426,SVX,EVN,,0,735,948,3248
269,U6,5234,SVX,EVN,,0,320,948,3248
270,YC,9828,TJM,EVN,,0,320,3102,3248
271,QN,426,VKO,EVN,,0,320,2205,3248
272,UN,5067,VKO,EVN,,0,73H,2205,3248
273,FZ,14485,DXB,EVN,,0,73H,3077,3248
274,QN,426,ATH,EVN,,0,735,2416,3248
275,AF,137,CDG,EVN,,0,320,1440,3248
276,AZ,596,CDG,EVN,,0,320,1440,3248
277,QN,426,CDG,EVN,,0,320,1440,3248
278,AZ,596,FCO,EVN,,0,32S 319,2702,3248
279,OK,1946,PRG,EVN,,0,319,1481,3248
280,TD,1048,PRG,EVN,,0,319,1481,3248
281,OS,491,VIE,EVN,Y,0,320 321,2811,3248
282,TD,1048,VIE,EVN,Y,0,321,2811,3248
283,UA,5209,VIE,EVN,Y,0,320 321,2811,3248
284,LO,3210,WAW,EVN,,0,E75,1257,3248
285,SU,130,SVO,EVN,,0,321 738 320,1300,3248
286,Y7,13088,KJA,EVN,,0,738,863,3248
287,SU,130,KRR,EVN,,0,319,229,3248
288,6W,4805,RTW,EVN,,0,YK2,2858,3248
289,EP,2923,IKA,EVN,,0,100,37,3248
290,G9,329,SHJ,EVN,,0,320,579,3248
291,QN,426,KUF,EVN,,0,735,1506,3248
292,U6,5234,KUF,EVN,,0,320,1506,3248
293,SU,130,ROV,EVN,,0,319,2294,3248
294,7R,1469,VOG,EVN,,0,CR2,1347,3248
295,YQ,16882,VOZ,EVN,,0,S20,1125,3248
296,PS,5282,KBP,EVN,,0,734 73G 735,2736,3248
297,ME,3490,BEY,EVN,,0,320,839,3248
298,B2,1478,MSQ,EVN,,0,E75,2690,3248
299,DV,4840,SCO,EVN,,0,CRJ,1228,3248
300,IOS,2951,OMS,EVN,,0,CR2,272,3248
301,QN,426,GOJ,EVN,,0,735,2408,3248
302,U6,5234,GOJ,EVN,,0,320,2408,3248
303,Z6,16120,DNK,EVN,Y,0,ER4,2090,3248
304,R3,1287,AER,KRR,,0,DH4,1138,229
305,SU,130,AER,KRR,,0,319,1138,229
306,6R,1340,DME,KRR,,0,738 73G,353,229
307,S7,4329,DME,KRR,,0,734 319 320 738,353,229
308,U6,5234,DME,KRR,,0,320,353,229
309,UN,5067,DME,KRR,,0,735,353,229
310,R3,1287,EGO,KRR,,0,DH4,2047,229
311,SU,130,LED,KRR,,0,319,2913,229
312,R3,1287,NUX,KRR,,0,73W,2311,229
313,6R,1340,OVB,KRR,,0,738,1828,229
314,Y7,13088,OVB,KRR,,0,738,1828,229
315,SU,130,SVX,KRR,,0,319,948,229
316,U6,5234,SVX,KRR,,0,320,948,229
317,R3,1287,LCA,KRR,,0,73W,1323,229
318,U6,5234,MUC,KRR,,0,320,2430,229
319,PC,3926,SAW,KRR,,0,738 320,2351,229
320,R3,1287,FEG,KRR,,0,73H,2225,229
321,U6,5234,NMA,KRR,,0,320,1725,229
322,R3,1287,TLV,KRR,,0,73W,590,229
323,R3,1287,VKO,KRR,,0,73W,2205,229
324,UN,5067,VKO,KRR,,0,73G,2205,229
325,FZ,14485,DXB,KRR,,0,73H,3077,229
326,U6,5234,DXB,KRR,,0,320,3077,229
327,U6,5234,ATH,KRR,,0,320,2416,229
328,U6,5234,BUD,KRR,,0,320,3332,229
329,R3,1287,PRG,KRR,,0,73W 73H,1481,229
330,OS,491,VIE,KRR,Y,0,100 F70 319,2811,229
331,SU,130,SVO,KRR,,0,319 320 738,1300,229
332,Y7,13088,KJA,KRR,,0,738,863,229
333,SU,130,EVN,KRR,,0,319,3248,229
334,R3,1287,DYU,KRR,,0,73W,244,229
335,SZ,10122,DYU,KRR,,0,737,244,229
336,QH,882,FRU,KRR,,0,735,673,229
337,SZ,10122,LBD,KRR,,0,737,1939,229
338,U6,5234,LBD,KRR,,0,320,1939,229
339,R3,1287,MCX,KRR,,0,DH4,3220,229
340,7R,1469,VOG,KRR,,0,CR2,1347,229
341,7R,1469,VOZ,KRR,,0,CR2,1125,229
342,B2,1478,MSQ,KRR,,0,735,2690,229
343,HY,5281,TAS,KRR,,0,320,842,229
344,R3,1287,TAS,KRR,,0,73W,842,229
345,U6,5234,TAS,KRR,,0,320,842,229
346,U6,5234,PFO,KRR,,0,320,2791,229
347,DV,4840,SCO,KRR,,0,CRJ,1228,229
348,R3,1287,RMI,KRR,,0,73H,1190,229
349,S7,4329,AER,DME,,0,319 320 738,1138,353
350,U6,5234,AER,DME,,0,320,1138,353
351,UN,5067,AER,DME,,0,734 735,1138,353
352,Y7,13088,AER,DME,,0,738,1138,353
353,3R,3545,ASF,DME,,0,SU9,2384,353
354,S7,4329,ASF,DME,,0,319,2384,353
355,S7,4329,CEK,DME,,0,319,716,353
356,U6,5234,CEK,DME,,0,320,716,353
357,3R,3545,EGO,DME,,0,SU9,2047,353
358,7R,1469,EGO,DME,,0,CR2,2047,353
359,YQ,16882,EGO,DME,,0,SFB,2047,353
360,J2,197,GYD,DME,,0,320,2319,353
361,S7,4329,GYD,DME,,0,319,2319,353
362,S7,4329,KGD,DME,,0,734,542,353
363,U6,5234,KGD,DME,,0,320,542,353
364,UN,5067,KGD,DME,,0,735,542,353
365,2B,410,KZN,DME,,0,CR2,3316,353
366,S7,4329,KZN,DME,,0,319,3316,353
367,U6,5234,KZN,DME,,0,320,3316,353
368,UN,5067,KZN,DME,,0,735,3316,353
369,6R,1340,LED,DME,,0,738,2913,353
370,S7,4329,LED,DME,,0,319 734 738,2913,353
371,SU,130,LED,DME,,0,320 319,2913,353
372,U6,5234,LED,DME,,0,320,2913,353
373,UN,5067,LED,DME,,0,735,2913,353
374,S7,4329,MRV,DME,,0,319,3318,353
375,U6,5234,MRV,DME,,0,320,3318,353
376,UN,5067,MRV,DME,,0,735,3318,353
377,2B,410,NBC,DME,,0,CR2,741,353
378,S7,4329,NJC,DME,Y,0,319,1989,353
379,U6,5234,NJC,DME,,0,320,1989,353
380,S7,4329,NUX,DME,,0,738 319,2311,353
381,UN,5067,NUX,DME,,0,734 735,2311,353
382,YC,9828,NUX,DME,,0,320,2311,353
383,S7,4329,OVB,DME,,0,738 320,1828,353
384,U6,5234,OVB,DME,,0,320,1828,353
385,UN,5067,OVB,DME,,0,735 734,1828,353
386,S7,4329,SVX,DME,,0,319,948,353
387,U6,5234,SVX,DME,,0,320,948,353
388,UN,5067,SVX,DME,,0,735,948,353
389,2B,410,TGK,DME,,0,CR2,2578,353
390,2B,410,UUA,DME,,0,CR2,105,353
391,S7,4329,BTK,DME,,0,319,1258,353
392,S7,4329,HTA,DME,Y,0,738,520,353
393,U6,5234,HTA,DME,,0,320,520,353
394,S7,4329,IKT,DME,,0,320,2494,353
395,U6,5234,IKT,DME,,0,320,2494,353
396,6R,1340,MJZ,DME,,0,738,2326,353
397,S7,4329,YKS,DME,Y,0,738,1032,353
398,UN,5067,YKS,DME,,0,763 T20,1032,353
399,LX,4559,GVA,DME,,0,319 320,330,353
400,S7,4329,LCA,DME,,0,738 734,1323,353
401,UN,5067,TFS,DME,,0,772 763,659,353
402,LX,4559,ZRH,DME,,0,321 320,56,353
403,UN,5067,DWC,DME,,0,773,1840,353
404,IB,2822,BCN,DME,Y,0,320,1552,353
405,UN,5067,BCN,DME,,0,763 734 772 744,1552,353
406,VY,2439,BCN,DME,,0,320,1552,353
407,U2,2297,LGW,DME,,0,320,856,353
408,UN,5067,LGW,DME,,0,320,856,353
409,CI,1756,BKK,DME,,0,772,1034,353
410,TG,4940,BKK,DME,,0,777,1034,353
411,UN,5067,BKK,DME,,0,772 744,1034,353
412,CX,1680,HKG,DME,,0,343,1061,353
413,S7,4329,HKG,DME,,0,330,1061,353
414,UN,5067,HKG,DME,,0,763,1061,353
415,UN,5067,HKT,DME,,0,744,1486,353
416,UN,5067,SGN,DME,,0,763,498,353
417,VN,5309,SGN,DME,,0,332 330,498,353
418,SQ,4435,SIN,DME,,0,77W,2008,353
419,UN,5067,SIN,DME,Y,0,77W,2008,353
420,AB,214,DUS,DME,,0,738,2540,353
421,S7,4329,DUS,DME,Y,0,738,2540,353
422,AB,214,MUC,DME,,0,738,2430,353
423,LH,3320,MUC,DME,,0,320 321 319,2430,353
424,S7,4329,MUC,DME,,0,320 321 763,2430,353
425,AB,214,TXL,DME,,0,738,2589,353
426,UN,5067,TXL,DME,,0,735,2589,353
427,SN,1531,BRU,DME,,0,320 319,2289,353
428,U6,5234,CGN,DME,,0,320,2979,353
429,IB,2822,PMI,DME,Y,0,320,497,353
430,VY,2439,PMI,DME,,0,320,497,353
431,PC,3926,SAW,DME,,0,738 320,2351,353
432,3R,3545,BHK,DME,,0,734,683,353
433,HY,5281,BHK,DME,,0,320 757,683,353
434,UN,5067,BHK,DME,,0,T20,683,353
435,3R,3545,FEG,DME,,0,734,2225,353
436,HY,5281,FEG,DME,,0,320,2225,353
437,3R,3545,KSQ,DME,,0,734,1982,353
438,HY,5281,KSQ,DME,,0,320,1982,353
439,3R,3545,NMA,DME,,0,734,1725,353
440,HY,5281,NMA,DME,,0,752 320,1725,353
441,3R,3545,NVI,DME,,0,734,850,353
442,HY,5281,NVI,DME,,0,320,850,353
443,U6,5234,NVI,DME,,0,320,850,353
444,3R,3545,SKD,DME,,0,734,1963,353
445,HY,5281,SKD,DME,,0,757 320,1963,353
446,3R,3545,TIV,DME,,0,SU9 73G,884,353
447,S7,4329,TIV,DME,Y,0,738,884,353
448,U6,5234,TIV,DME,,0,320,884,353
449,YC,9828,TIV,DME,,0,320 321,884,353
450,YM,3539,TIV,DME,,0,E95,884,353
451,UN,5067,SYX,DME,,0,773,1600,353
452,MS,2143,CAI,DME,,0,320,1124,353
453,LY,2150,TLV,DME,,0,739 763 738 73G 772,590,353
454,UN,5067,TLV,DME,,0,735 734,590,353
455,HY,5281,NCU,DME,,0,320,2180,353
456,U6,5234,NCU,DME,,0,320,2180,353
457,S7,4329,NYM,DME,,0,737,2993,353
458,YC,9828,NYM,DME,,0,735,2993,353
459,S7,4329,TJM,DME,,0,319,3102,353
460,YC,9828,TJM,DME,,0,735 CR2,3102,353
461,S7,4329,UFA,DME,,0,319,3219,353
462,U6,5234,UFA,DME,,0,320,3219,353
463,UN,5067,UFA,DME,,0,735,3219,353
464,YC,9828,UFA,DME,,0,CR2,3219,353
465,EK,2183,DXB,DME,,0,388,3077,353
466,UN,5067,PUJ,DME,,0,772,576,353
467,UN,5067,HRG,DME,,0,T20 744,1885,353
468,IB,2822,AGP,DME,Y,0,320,203,353
469,VY,2439,AGP,DME,,0,320,203,353
470,A3,96,ATH,DME,,0,320 321,2416,353
471,S7,4329,ATH,DME,,0,320,2416,353
472,A3,96,CFU,DME,,0,320,3124,353
473,BV,1463,FCO,DME,,0,737,2702,353
474,UN,5067,FCO,DME,,0,735,2702,353
475,ST,2547,FKB,DME,,0,73G,63,353
476,AB,214,FRA,DME,Y,0,319,650,353
477,LH,3320,FRA,DME,,0,32A 321 320,650,353
478,S7,4329,FRA,DME,,0,319,650,353
479,AY,2350,HEL,DME,,0,319,714,353
480,S7,4329,HEL,DME,,0,319,714,353
481,A3,96,HER,DME,,0,320,2777,353
482,S7,4329,HER,DME,,0,320,2777,353
483,UN,5067,HER,DME,,0,734 772,2777,353
484,A3,96,KGS,DME,,0,320,1324,353
485,ST,2547,LEJ,DME,,0,319,2564,353
486,BA,1355,LHR,DME,,0,321 767 744,148,353
487,S7,4329,LIS,DME,Y,0,320,419,353
488,TP,4869,LIS,DME,,0,320,419,353
489,IB,2822,MAD,DME,,0,319,1126,353
490,S7,4329,MAD,DME,,0,319,1126,353
491,U2,2297,MAN,DME,,0,319 320,120,353
492,UN,5067,MXP,DME,,0,735,2443,353
493,SU,130,NCE,DME,,0,320,1510,353
494,S7,4329,PUY,DME,Y,0,320 738,3282,353
495,A3,96,RHO,DME,,0,320,447,353
496,S7,4329,RHO,DME,,0,320,447,353
497,UN,5067,RHO,DME,,0,734 763,447,353
498,A3,96,SKG,DME,,0,320,1260,353
499,EL,336,SKG,DME,,0,AR8,1260,353
500,S7,4329,SKG,DME,,0,320,1260,353
501,TU,4870,TUN,DME,,0,32A,1457,353
502,HG,3661,VIE,DME,,0,320 E90,2811,353
503,OS,491,VIE,DME,Y,0,320,2811,353
504,S7,4329,VIE,DME,,0,320 E90,2811,353
505,UA,5209,VIE,DME,Y,0,320,2811,353
506,UN,5067,VIE,DME,Y,0,32S,2811,353
507,S7,4329,VRN,DME,Y,0,320 738,240,353
508,VN,5309,HAN,DME,,0,330,128,353
509,JL,2987,NRT,DME,,0,788,2982,353
510,S7,4329,NRT,DME,Y,0,787,2982,353
511,UN,5067,GOI,DME,,0,773,489,353
512,S7,4329,TBS,DME,,0,320,1375,353
513,S7,4329,KJA,DME,,0,738,863,353
514,Y7,13088,KJA,DME,,0,738,863,353
515,6R,1340,KRR,DME,,0,738 73G,229,353
516,S7,4329,KRR,DME,,0,734 319 320 738,229,353
517,U6,5234,KRR,DME,,0,320,229,353
518,UN,5067,KRR,DME,,0,735,229,353
519,6R,1340,PYJ,DME,,0,TU5,459,353
